img_path,prompt
generated_images/story_1/scene_0.png,"Kaylee, a young woman with long brown hair, wearing a white blouse and black pants, stand in the spacious hotel lobby with marble floors, a chandelier, and a wooden desk"
generated_images/story_1/scene_1.png,"Kaylee, a young woman with long brown hair, wearing a white blouse and black pants, stand in the spacious hotel lobby with marble floors, a chandelier, and a wooden desk, she places the clrealy visable sleek silver letter opener with an engraved handle, inside the wooden desk drawer, polished and dark brown,."
generated_images/story_1/scene_2.png,"Kaylee, a young woman with long brown hair, wearing a white blouse and black pants, stand in the  spacious hotel lobby with marble floors, a chandelier, and a wooden desk, she place the clrealy visable sleek silver letter opener with an engraved handle, inside the wooden desk drawer, polished and dark brown,, Liam, a young man with short black hair, wearing a blue shirt and dark jeans, watches her from far."
generated_images/story_1/scene_3.png,"The spacious hotel lobby with marble floors, a chandelier, and a wooden desk is empty."
generated_images/story_1/scene_4.png,"Liam, a young man with short black hair, wearing a blue shirt and dark jeans, stand in the spacious hotel lobby with marble floors, a chandelier, and a wooden desk."
generated_images/story_1/scene_5.png,"Kaylee, a young woman with long brown hair, wearing a white blouse and black pants, and Liam, a young man with short black hair, wearing a blue shirt and dark jeans, standing in the spacious hotel lobby with marble floors, a chandelier, and a wooden desk."
generated_images/story_1/scene_6.png,"Liam, a young man with short black hair, wearing a blue shirt and dark jeans, moves the clrealy visable sleek silver letter opener with an engraved handle, to the classic leather briefcase with brass buckles, in the spacious hotel lobby with marble floors, a chandelier, and a wooden desk. Kaylee, a young woman with long brown hair, wearing a white blouse and black pants, stand there and watch him."
generated_images/story_1/scene_0.png,"Kaylee, a young woman with long brown hair, wearing a white blouse and black pants, stand in the spacious hotel lobby with marble floors, a chandelier, and a wooden desk"
generated_images/story_1/scene_1.png,"Kaylee, a young woman with long brown hair, wearing a white blouse and black pants, stand in the spacious hotel lobby with marble floors, a chandelier, and a wooden desk, she places the clrealy visable sleek silver letter opener with an engraved handle, inside the wooden desk drawer, polished and dark brown,."
generated_images/story_1/scene_2.png,"Kaylee, a young woman with long brown hair, wearing a white blouse and black pants, stand in the  spacious hotel lobby with marble floors, a chandelier, and a wooden desk, she place the clrealy visable sleek silver letter opener with an engraved handle, inside the wooden desk drawer, polished and dark brown,, Liam, a young man with short black hair, wearing a blue shirt and dark jeans, watches her from far."
generated_images/story_1/scene_3.png,"The spacious hotel lobby with marble floors, a chandelier, and a wooden desk is empty."
generated_images/story_1/scene_4.png,"Liam, a young man with short black hair, wearing a blue shirt and dark jeans, stand in the spacious hotel lobby with marble floors, a chandelier, and a wooden desk."
generated_images/story_1/scene_5.png,"Kaylee, a young woman with long brown hair, wearing a white blouse and black pants, and Liam, a young man with short black hair, wearing a blue shirt and dark jeans, standing in the spacious hotel lobby with marble floors, a chandelier, and a wooden desk."
generated_images/story_1/scene_6.png,"Liam, a young man with short black hair, wearing a blue shirt and dark jeans, moves the clrealy visable sleek silver letter opener with an engraved handle, to the classic leather briefcase with brass buckles, in the spacious hotel lobby with marble floors, a chandelier, and a wooden desk. Kaylee, a young woman with long brown hair, wearing a white blouse and black pants, stand there and watch him."
generated_images/story_1/scene_0.png,"Kaylee, a young woman with long brown hair, wearing a white blouse and black pants, stand in the spacious hotel lobby with marble floors, a chandelier, and a wooden desk"
generated_images/story_1/scene_1.png,"Kaylee, a young woman with long brown hair, wearing a white blouse and black pants, stand in the spacious hotel lobby with marble floors, a chandelier, and a wooden desk, she places the clrealy visable sleek silver letter opener with an engraved handle, inside the wooden desk drawer, polished and dark brown,."
